gen,nevals,avg,std,min,max
0,60,0.7935194087211868,2.9740470141276014,-2.535926126693921,13.937851823026167
1,50,7.45351934760855,5.724580999448376,-1.1976060709901803,20.84671472768845
2,39,9.348559254232411,6.8292642850869525,-0.9222047263968833,20.84671472768845
3,46,9.524689725859748,7.561341513960454,-3.953388127396134,28.469863196367807
4,44,10.29518584236918,7.434148837009293,-3.4283909032578705,31.05260315314798
5,52,8.972771358730007,6.902317371713179,-0.7849833879523267,25.980647372234742
6,45,10.556261641969236,8.219165242199644,-9.921114156582368,31.622562639621968
7,46,10.484247460965598,7.643487148260036,-3.2200415999375203,30.777380156987434
8,52,13.076284614741642,8.487056178146169,-4.284053009999118,31.279479724283917
9,46,12.352195760372048,8.713417768437788,-0.14433765243598695,37.596644443360326
10,44,15.542740568539395,11.153973730247332,-10.263553823853755,45.03679294088067
11,52,17.35665459871449,11.325677258911417,-1.9024311559316134,45.03679294088067
12,40,20.219094363222432,11.587709207720582,-1.5874660716440872,45.03679294088067
13,48,19.069190651355886,12.329860457016794,-6.501738002340687,41.75508724788928
14,50,17.34516481044241,14.30994649388079,-12.40487241412024,47.16994555336517
15,53,17.326803570863515,13.269274134703123,-5.851423325375377,47.16994555336113
16,50,18.150007190818013,14.439525602959591,-5.882500830349569,46.90031097298293
17,52,19.205016175224912,13.577414646049698,-7.164094412362078,52.09750870337055
18,53,18.057049875816563,13.50527513715183,-9.145888708386652,44.41533485455859
19,48,19.821731540594165,12.29819077311685,-11.857815972676084,45.34058414148836
20,52,16.53956705579547,12.559211734102782,-11.33070447714866,45.34058414148836
21,51,16.030617655120853,11.444128794626149,-10.718194802810565,45.34058414148836
22,38,17.097965453406893,11.53588835161061,-10.082233579976126,43.83549947812594
23,54,15.663407936175805,12.262933956761216,-6.5680733838884375,53.31204277054294
24,46,16.16149826112197,12.928382863743062,-11.08070152437664,47.45962378004966
25,42,16.275227485901556,13.235617599437857,-11.761169170163924,46.20323117232343
26,46,19.843197407646677,13.567948733693472,-9.780080061175703,46.20323117232343
27,48,16.152480955811317,11.465748481686365,-11.291748566778718,42.08937996119924
28,47,17.146375680873554,13.181842509940905,-14.558583572561577,50.53072302790341
29,48,16.288894204903386,12.739873423736363,-8.517776472499577,45.497987898714655
30,44,16.75128014720876,13.734449874917964,-11.757075499622221,45.556893653474035
